Index,SMILES,FP_1,FP_2,FP_3,FP_4,FP_5,FP_6,FP_7,FP_8,FP_9,FP_10,FP_11,FP_12,FP_13,FP_14,FP_15,FP_16,FP_17,FP_18,FP_19,FP_20,FP_21,FP_22,FP_23,FP_24,FP_25,FP_26,FP_27,FP_28,FP_29,FP_30,FP_31,FP_32,FP_33,FP_34,FP_35,FP_36,FP_37,FP_38,FP_39,FP_40,FP_41,FP_42
1621,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,32,5,5,2,0,35,15,18,2,0,5.8211,243.5316,131.2765,448.9413,69.64
1622,CCCCCCCCC=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,9,8,0,1,0,2.9359,3.1691,45.577,142.23862,17.07
1623,CCCCC(CC)C(=O)OCCOCCOCCOCCOC(=O)C(CC)CCCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,7,0,0,30,28,0,2,0,4.5554,-40.4825,123.307,446.61784,80.29
1624,CNC(=O)Oc1cccc(C(C)C)c1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,1,0,14,7,6,1,0,2.9191,70.1709,55.7117,193.2423,38.33
1625,CCOC(=O)COc1ccc2c(C)c(CCN(CC)CC)c(=O)oc2c1Cl,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,5,6,0,0,28,15,11,2,0,3.581,124.5682,106.555,395.87714,68.98
1626,CC1=C(C(=O)Nc2ccccc2)SCCO1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,16,4,4,1,0,17,9,6,2,0,2.693,95.1678,66.0707,235.30212,63.63
1627,COC(=O)c1ccc2cc(C(=O)OC)ccc2c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,4,0,0,19,6,11,2,0,2.413,101.5492,66.507,244.24268,52.6
1628,CC1=CCCC(C)(C)C12CCC(C)O2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,0,15,14,0,1,0,3.6904,47.9148,60.766,194.31318,9.23
1629,Cc1ccc(N(C)C)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,10,4,6,0,0,2.061,17.5005,45.615,135.20622,3.24
1630,CC(=O)C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC12C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,3,1,0,28,25,0,3,0,3.9403,165.1071,99.9798,344.48768,54.37
1631,Cc1cc(=O)oc2cc(N(C)C)ccc12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,3,0,0,16,4,11,1,0,2.1674,97.5121,61.657,203.23712,33.45
1632,Nc1ccc(NCCO)c([N+](=O)[O-])c1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,3,3,0,14,7,6,1,0,1.7586,145.7796,54.9429,197.19124,104.1
1633,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,3,0,0,27,14,12,1,0,3.9538,154.9035,98.0844,340.43604,35.53
1634,Cc1cc(O)cc2c1OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,2,1,0,30,24,6,0,0,8.2234,80.7218,129.339,402.65294,29.46
1635,O=C(CCN1CCC(c2ccccc2)C1)c1ccc2c(c1)OCCO2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,4,4,0,0,28,15,12,1,0,3.458,125.2937,100.7255,337.41222,38.77
1636,CCCCCCCCCCOCC(O)CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,3,2,0,15,15,0,0,0,3.1636,32.7057,69.5592,231.37486,55.48
1637,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,4,5,1,1,35,18,16,1,0,4.8322,211.9729,133.1717,440.9408432,40.51
1638,CCCCCCOCCOCCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,1,0,12,12,0,0,0,1.5922,-28.5002,53.5158,190.27988,38.69
1639,N#Cc1cccnc1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,8,1,6,0,1,0.95328,56.5573,28.952,104.10936,36.68
1640,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,14,15,8,0,47,29,17,1,0,-1.0897,337.4784,143.8248,608.54468,238.2
1641,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,34,5,6,2,0,38,15,22,1,0,6.0131,255.884,141.2125,473.58328,98.24
1642,Nc1nc(N)nc(-c2ccccc2)n1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,5,2,0,15,3,12,0,0,1.8654,187.4208,54.0718,187.20126,90.71
1643,CCc1nccnc1CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,0,0,10,4,6,0,0,1.6014,41.6728,41.578,136.19428,25.78
1644,N=C(N)NN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,0,4,3,0,1,0,0.2344,143.7333,18.7282,74.08514,87.92
